English	Standard	Silêmanî	Hewlêr	Mehabad	Sine
You are turning Malaysian pumpkin into Kurdish one	کوولەکەی مالیزیام لێ ئەکەی بە کوولەکەی کوردی	کوولەکەی مالیزیام لێ ئەکەی بە کوولەکەی کوردی	کودی مالیزیم لێ دەکەیە کودی کوردی	کوولەکەی مالێزیم لێ دەکەی بە کوولەکەی کوردی	کوولەکەی مالێزیم لێ ئەکەی بە کوولەکەی کوردی
Yeah, he is right. It is not worth it for him.	ئێ وایە وا ڕاس ئەکا دەری ناهێنێ بۆی	ئێ وایە وا ڕاس ئەکا دەری ناهێنێ بۆی	ئێ وایە ڕاست دەکا دەر ناینی لۆی	بەدی وایە وا ڕاست دەکا دەری ناهێنێ بۆی	ئەڕێ واسە وا ڕاس ئەکا دەری نایرێ بۆی
I say spread it among all journals maybe it becomes something	ئەڵێم بیگێڕە بە ناو هەموو جەریدەکاندا بەڵکوو ئەمە خوایا هین بێت	ئەڵێم بیگێڕە بە ناو هەموو جەریدەکانا بەڵکوو ئەمە خوایا هین بێت	دەرێم بیگێڕە ناو هەموو جەریدەکاندا بەشکەم خوا بکا ئەوە بی	دەڵێم بیگێڕە بە نێو هەموو مەجەلەکاندا بەڵکەم خودا بکا وانێک بێ	ئەیژم بیگەڕنە بە ناو گشت مەجەلەکانا بەڵکەم ئەمە خوایکا هین بێت
And you sir, you have not understood 	ئینجا جەنابیشت تا ئێستا ئەلف و بێیەکی لێ تێنەگەیشتی	ئینجا جەنابیشو تا ئێسا ئەلف و بێیەکی لێ تێنەگەیشتی	ئەوجا جەنابیشت هەتا ئێستا ئەلف و بێیەکی لێ تێنەگەیشتی	جا جەنابیشت تا ئێستا ئەلف و بێیەکی لێ تێنەگەیشتی	جا جەنابیشۆ تا ئیسە ئەلفبایکی لێ تێنەگەیگی
He says you don't have any idea about law	ئەڵێ تۆ بەهیچ شێوەیەک سەر و سەرکوت لەگەڵ قانوون و مانوونا هەر نییە	ئەڵێ تۆ بەهیچ شێوەیەک سەر و سەرکوت لەگەڵ قانوون و مانوونا هەر نییە	دەرێی ئەتوو بە هیچ شێوەیەک سەر و کارت لەگەر قانوون و مانووندا هەر نییە	دەڵێ ئەتۆ بە هیچ شێوەیەک سەر و کارت دەگەڵ قانوون و مانووندا هەر نییە	ئەیژێ تۆ بە هیچ جۆرێک سەر و کارت لەتەک قانوون و مانوونا هەر نییە
They are going inside	ئەچنە ژوورەوە	ئەچنە ژوورەوە	دەچنە ژۆرێ	دەچنە ژوورێ	ئەچنە ماڵەو
They are distributing that of spider among people	هینی جاڵجاڵۆکە تەوزیع ئەکەن بەناو ماڵانا	هینی جاڵجاڵۆکە تەوزیع ئەکەن بەناو ماڵانا	ئی داپیرۆچکەی تەوزیع دەکەنە سەر ماران	ئی جاڵجاڵۆکەی بڵاو دەکەنەوە بە نێو ماڵاندا	هین کاکڵەمووشان پەخش ئەکەنەو بە ناو ماڵگەلا
You yourself like to call people a lot.	خۆت حەزت لێیە نووکە بۆ خەڵک زۆر بکەی	خۆو حەزو لێیە نووکە بۆ خەڵک زۆر بکەی	بەخۆت حەزت لێیە نووکەی زۆر لۆ خەرکی بکەی	بۆخۆت حەزت لێیە زەنگی زۆر لە خەڵک دەی	خوەت حەز ئەکەی زەنگ فرە بەی لە خەڵک
But how can you enter without a ticket?	ئاخر چۆن بە بێ بیتاقە بچێتە ژوورەوە	ئاخر چۆن بە بێ بیتاقە بچێتە ژوورەوە	ئاخە کوو بە بێ بیتاقە بچییە ژۆرێ	ئاخ چۆن بە بێ شناسنامەی بچییە ژوورێ	ئاخر چۆن بێ شناسنامە بچێتە ماڵەو
Oh no, the deficit is seven hundred and five dinars.	حەی حەی حەوسە و پەنجا دیناری نوقسانە	حەی حەی حەوسە و پەنجا دیناری نوقسانە	ئەی ئەی حەفسەت و پەنجا دیناری نوقستانە	حەی حەی حەفسەد و پەنجا دیناری نوقسانە	حەی حەی حەفسە و پەنجا دینار نوقسانە
Yeah, wisdom, condolences! Wisdom is doomed.	نا نا! مەعریفە، ئێوە خۆش! مەعریفە نەما.	نا نا! مەعریفە، ئێوە خۆش! مەعریفە نەما.	نا نا! مەعریفەت، ئەنگۆ خۆش! مەعریفەت نەما.	نا نا! مەعریفەت، ئەنگۆ خۆش! مەعریفەت نەما.	نا نا! مەعرفەت، ئێوە خوەش! مەعرفەت نەما.
Why not, you can bring two of your relatives also.	ئەی چۆن، ئەشتوانی دوو خزمی خۆت بێنی	ئەی چۆن، ئەشتوانی دوو خزمی خۆت بێنی	ئەدی کوو، دەشتانی دوو خزمی خۆت بینی	ئەی چۆن، دەشتوانی دوو خزمی خۆت بێنی	ئەی چۆن، ئەتوانیتیش دوو قەوم خوەت بێری
You agree with him or go and close it.	لەگەڵی ڕێک بکەوی یا بچی دایخەی	لەگەڵی ڕێک بکەوی یا بچی دایخەی	لەگەری ڕێک بکەوی یان بچی قەپاتی کەی	دەگەڵیدا ڕێک کەوی یا بچی دایخەی	لەتەکیا ڕێک کەفی یا بچی دایخەی
We will send it to your house by email.	بە ئیمەیڵ ئەینێرینەوە بۆ ماڵی جەنابی	بە ئیمەیڵ ئەینێرینەوە بۆ ماڵی جەنابی	بە ئیمەیڵ دەینێرینەوە لۆ ماری جەنابی	بە ئیمەیلێ دەینێرینەوە بۆ ماڵی جەنابی	بە ئیمەیل ئەینێرینەو بۆ ماڵ جەنابی
I am sure nothing is missing.	من تەکیدم نوقسانی نییە	من تەکیدم نوقسانی نییە	ئەمن تەئکیدم نوقستانی نییە	ئەمن موتمەئینم نوقسانی نییە	من موتمەئنم نوقسانی نییە
You've got it wrong	لینگا و قوچ تێگەیشتووی	لینگا و قوچ تێگەیشتووی	بە بەرواژی تێگەیشتیی	هەڵە تێگەیشتووی	عەوەزی تێگەیگی
The doctor is there.	دکتۆر لەوێیە	دکتۆر لەوێیە	دختۆر لەوێیە	دوکتور لەوێیە	دوکتور ها ئێنە
My friend isn't here. I am scolding everyone.	ڕەفیقەکەشم نییە. ئەچم بە گژی هەموو دنیایا.	ڕەفیقەکەشم نییە. ئەچم بە گژی هەموو دنیایا.	برادەرەکەشم نییە. بە گژ هەموو دنیای دەچم.	ڕەفیقەکەشم نێ. بە گژی هەموو دنیای دەچم.	ڕەفێقەکەیشم نییە. ئەچم بە گژ تواو دنیا.
There is a hammock and sunflower seed shells.	جۆلانە و توێکڵە گوڵەبەڕۆژەی لێیە	جۆلانە و توێکڵە گوڵەبەڕۆژەی لێیە	جۆللانە و پەلکە گولەبەڕۆژەی لێیە	جۆللانە و تۆکڵی گوڵەبەڕۆژەی لێیە	جۆلانە و تۆکڵ تۆمی هەس
Such a bastard! I knew him, he is lying. 	ئەی لەو زۆڵە! خۆ ئەمناسێ، درۆ ئەکا.	ئەی لەو زۆڵە! خۆ ئەمناسێ، درۆ ئەکا.	ئەی لەو بیژیە! خۆ دەمناسی، درۆی دەکا	ئەی لەو بیژۆیەی! خۆ دەمناسێ، درۆیان دەکا.	هەی لەو زۆڵە! خۆ ئەمناسێ، درۆ ئەکا.
He is right, those are all forbidden, dear aunt.	ڕاس ئەکا، ئەوانە هەمووی مەمنووعن پوورێ گیان.	ڕاس ئەکا، ئەوانە هەمووی مەمنووعن پوورێ گیان.	ڕاست دەکا، ئەوانە هەمووی مەمنووعن پلە گیان.	ڕاست دەکا، ئەوانە هەمووی مەمنووعن پوورێ گیان.	ڕاس ئەکا، ئەوانە گشتیان مەمنووعن میمکە گیان.
What a situation for God's sake	کەی ئەمە وەزعە بۆ خاتری خوا	کەی ئەمە وەزعە بۆ خاتری خوا	 کەینێ ئەوە وەزعە لۆ خاتری خوای	کەنگێ ئەوە وەزعە بۆ خاتری خوڵای	کەی ئەمە وەزعە بۆ خاتر خوا
Oh no, I swear only you are right	کوڕە نە بە خوا هەر تۆ ڕاسەکەی	کوڕە نە بە خوا هەر تۆ ڕاسەکەی	کورە نا بەخوای هەر ئەتو ڕاستدەکەی	کوڕە نە بە خودای هەر ئەتۆ ڕاست دەکەی	کورە نە بە خوا هەر تۆ ڕاسەکەی
Come on it's a shame. Why are you watching it?	کورە دە عەیبە تۆ بۆ چاوت لێیە	کورە دە عەیبە تۆ بۆ چاوو لێیە	کورە دە عەیبە ئەتو لۆ چاوت لێیە	کوڕە دە عەیبە ئەتۆ بۆ چاوت لێیە	کورە دەی عەیبە تۆ بۆچە چاوو ها پێیەو
Then how do you know?	جا تۆ چووزانی؟!	جا تۆ چووزانی؟!	ئەوجە ئەتو چووزانی؟!	جا ئەتۆ چووزانی؟!	جا تۆ چووزانی؟!
My throat became dry with you. May god dry your throats.	قورگم وشک بوو لەگەڵتاندا. خوا قورگتان وشک کا.	قورگم وشک بوو لەگەڵتانا. خوا قورگتان وشک کا.	قورگم هیشک بوو لەگەرتان. خوا قورگتان هیشک کا.	گەرووم ویشک بوو لەگەڵتاندا. خودا گەرووتان ویشک بکا.	قورگم وشک بوو لەتەکتانا. خوا قورگتان وشک کا.
I apologize. 	مەعزەرەت ئەخوازم	مەعزەرەت ئەخوازم	مەعزەرەت دەخوازم	مەعزەرەت دەخوازم	مەعزەرەت ئەخوازم
How are you, guys?	کاکە چۆنن؟	کاکە چۆنن؟	کاکە کوونە؟	کاکە چۆنن؟	کاکە چۆنن؟
Yeah, go ahead say his address.	ئا ئا دەی فەرموو عینوانەکەت بڵێ	ئا ئا دەی فەرموو عینوانەکەو بڵێ	ئا ئا دەی فەرموو عینوانەکەت برێ	ئا ئا دەی فەرموو ئادریسەکەی بڵێ	ئا ئا دەی فەرموو ئادرسەکەی بێژە
Man, they have it. I have read in books.	کاکە هەیانە. من لە کتێبدا خوێنوومەتەوە.	کاکە هەیانە. من لە کتێبا خوێنوومەتەوە.	کاکە هەیتیان. ئەمن لە کتابی خیندیتمەوە.	کاکە هەیانە. ئەمن دە کتێبدا خێندوومەتەوە.	کاکە هەسیان. من لە کتێوا خوێندگمەسەو.
Now, brother, why don't you keep your word?	ئێسە کاکەبرا ئێوە بۆ لە سەر قسە ناوەستن؟	ئێسە کاکەبرا ئێوە بۆ لە سەر قسە ناوەستن؟	ئێستا کاکەبرا ئەنگۆ لۆ لەسەر قسەی ڕاناوەستن؟	ئێستا برالە ئەنگۆ بۆ لە سەر قسەی ڕاناوەستن؟	ئیسە کاکەبرا ئێوە بۆچە لە سەر قسە ناوێسن؟
What a lie!	لەو درۆیە!	لەو درۆیە!	لەو درۆیەی!	لەو درۆیە!	لەو درۆە!
Now you don't need a doctor.	ئێستا ئێوە دکتۆرتان ناوێ	ئێسە ئێوە دکتۆرتان ناوێ	ئێستا ئەنگۆ دکتۆرتان ناوێ	ئێستە ئەنگۆ دوکتوروو ناوێ	ئیسە ئێوە دوکتورتان ناگەرەک
Please, say it say it.	تخوا ئادەی بیڵێرەوە بیڵێرەوە	تخوا ئادەی بیڵێرەوە بیڵێرەوە	تخوا دەی برێوە برێوە	توخودا دەی بیڵێڕەوە بیڵێڕەوە	توخوا ئادەی بێژەرەو بێژەرەو
What is he doing? Is he denying? What is he saying?	چی ئەکا؟ ئینکاری ئەکا؟ ئەڵێ چی؟	چی ئەکا؟ ئینکاری ئەکا؟ ئەڵێ چی؟	چ دەکا؟ عینادی دەکا؟ چ دەرێ؟	چ دەکا؟ ئینکاری دەکا؟ دەڵێ چی؟	چە ئەکا؟ ئینکاری ئەکا؟ ئەیژێ چە؟
Do whatever you like there.	لەو ناوەدا چی ئەکەی بیکە	لەو ناوەیا چی ئەکەی بیکە	لەو ناوەی چ دەکەی بکە	دەو نێوەیدا چ دەکەی بیکە	لەو ناوە چە ئەکەی بیکە
He is a philosopher. He is Luqman the wise. He is Plato.	ئەمە فەیلەسۆفە. لوقمانی حەکیمە. ئەمە ئیفلاتوونە.	ئەمە فەیلەسۆفە. لوقمانی حەکیمە. ئەمە ئیفلاتوونە.	ئەوە فەیلەسوفە. لوقمانی حەکیمە. ئەوە ئەفلاتوونە.	ئەمە فیلسۆفە. لوقمانی حەکیمە. ئەمە ئەفلاتوونە.	ئەمە فیلسووفە. لەقمان حەکیمە. ئەمە ئەفلاتوونە.
One of them Qanat road, the other one, Mowlawy road.	دانەیەکیان جادەی قەنات، ئەوەی تریان جادەی مەولەوی	دانەیەکیان جادەی قەنات، ئەوەی تریان جادەی مەولەوی	یەکیان جادەی قەنات، ئەوەی دیش جادەی مەولەوی	یەکێکیان جادەی قەنات، ئەوەی دییان جادەی مەولەوی	دانەیکیان جادەی قەنات، ئەو دانەکەی تریان جادەی مەولەوی
And I'll fill your mouth with mud! Did I say it so badly? 	جا ئەو دەمەتم پڕ کرد لە قوڕ! من ئاوا ناخۆشم وت؟	جا ئەو دەمەتم پڕ کرد لە قوڕ! من ئاوا ناخۆشم وت؟	ئەوجە ئەو دەوەی توم پڕ کرد لە قوڕ! ئەمن ئەوها ناخۆشم گۆت؟	جا ئەو دەمەم پڕ کردی لە قوڕ! ئەمن ئاوا ناخۆش کوتم؟	جا ئەو دەمتمە پڕ کرد لە قوڕ! من ئاوا ناخوەش وتم؟
So that he measures that thingy, that of the pressure.	بەڵکوو ئەو هینەکەی بۆ بگرێ ئەوەی زەختەکە	بەڵکوو ئەو هینەکەی بۆ بگرێ ئەوەی زەختەکە	بەشکوو ئەو شتەی لۆ بگری ئەوەی زەختەکەی	بەڵکەم ئەو وانێکەی بۆ بگرێ ئەوەی فشارەکەی	بەشکەم ئەو هینەکەی بۆ بگرێ هینەکەی فشارەکە
I mean, we couldn't make a war out of it with politics.	یاعنی بە سیاسەت ئەوەمان پێ نەکرا بە حەرب	یاعنی بە سیاسەت ئەوەمان پێ نەکرا بە حەرب	یەعنی بە سیاسەت ئەوەمان پێنەکرا بە حەرب	یانی بە سیاسەت ئەوەمان پێ نەکردرا بە شەڕ	یانێ بە سیاسەت ئەوەمانە پێ نەکریا بە جەنگ
Alright man, but is it worth it?	جا باشە کاکە دنیا ئەوە ئەهێنێ؟	جا باشە کاکە دنیا ئەوە ئەهێنێ؟	ئەوجە باشە کاکە دنیا ئەوەی دەینی؟	جا باشە کاکە دنیا ئەوەی دێنێ؟	جا باشە کاکە دنیا بەوە ئەژیت؟
Yeah, I'm jealous and that's it.	بەڵێ بەغیلم و ئەھ تەواو!	بەڵێ بەغیلم و ئەھ تەواو!	بەرێ حەسودم و ئەھ تەواو!	بەدی بەغیلم و ئەھ تەواو!	بەڵێ بەخێڵم و ئەھ تواو!
In the evening, wait in front of the college of humanities	ئێواران لەبەر کولیەی ئادابدا بوەستێ	ئێواران لەبەر کولیەی ئادابا بوەستێ	هێواران لەپێش کولیەی ئادابی ڕابوەستی	ئێواران لە بەر دانشکەدەی ئەدەبیاتێدا ڕابوەستێ	ئێوارەگەلا لە بەر دانشکەدەی ئەدەبیاتا بێسێ
Please, stop this nonsense. You've become a journalist for me.	تخوا ئەگەر نەیبڕیتەوە ئەم قسە زلانە. لێم بووی بە سەحەفی!	تخوا ئەگەر نەیبڕیتەوە ئەم قسە زلانە. لێم بووی بە سەحەفی!	تخوا ئەگەر نەبڕییەوە ئەو قسە گەورانە. لێم بوویە سەحەفی!	توخودا ئەگەر نەیبڕییەوە ئەو قسە زلانە! لێم بووی بە ڕۆژنامەنووس!	تخوا ئەگەر نەیبڕیتەو ئەم قسە زلگەلە. لێم بووگیتەسە ڕۆزنامەنگار!
Do you know what?! I swear I'll take care of you.	ئەزانی چی؟! بە قورعان خاتریشت ئەگرم	ئەزانی چی؟! بە قورعان خاتریشو ئەگرم	دەزانی چ؟! بە قورعان خاتریشت دەگرم	دەزانی چی؟! بە قورعان خاتریشت دەگرم	ئەزانی چە؟! بە قورعان خاتریشۆ ئەگرم
I swear there are many flaws in your words.	دە وەڵای و بیلای قسەکەی تۆ خەلەلی زۆر تیایە	دە وەڵای و بیلای قسەکەی تۆ خەلەلی زۆر تیایە	دە وەڵاهی و وەبیلاهی قسەی تو خەلەلی زۆر تێدایە	دە وەڵاهی و بیلاهی قسەکەی تۆ ئیرادی زۆر تێدایە	دەی وەڵا و بیلا قسەکەی تۆ ئیرادی فرە تیا هەس
Oh, if that's so, the forefathers were right.	ئای کەواتە پێشینان ڕاستیان کردووە	ئای کەواتە پێشینان ڕاستیان کردووە	ئای مادەم پێشینان ڕاستیان گۆتیە	ئای کەوایە پێشینیان ڕاستیان کردووە	ئای ئەگەر واسە قەدیمییەکان ڕاسیان کردگە
Yeah, I have not come for investigation.	ئا نەشهاتووم بۆ تەفتیش و مەفتیش	ئا نەشهاتووم بۆ تەفتیش و مەفتیش	ئا نەشهاتیمە لۆ تەفتیش و مەفتیشی	ئا نەشهاتووم بۆ تەفتیش و مەفتیش	ئا نەهاتگمیش بۆ تەفتیش و مەفتیش
I said lest something happen.	وتم نەوەکا شتێک بێ	وتم نەوەکا شتێک بێ	گۆتم نەوەک شتەک ببی	کوتم نەوەک شتێک بێ	وتم نەکا چتێک بێ
Hello to you, welcome Mrs. Badri. 	وە عەلەیکی سەلام بە خێر بێی یاخوا بەدری خان	وە عەلەیکی سەلام بە خێر بێی یاخوا بەدری خان	وە عەلەیکە سەلام یاخوا بەخێربێی بەدری خان	وە عەلەیکە سەلام بە خێرەی یاخوا بەدری خانم	وە عەلەیکە سڵام بە خێر بێی یاخوا بەدری خانم
Come, I'm drawing the line of the road and you're shoes are dirty. Come!	وەرە خەتی جادەکە ئەکێشم تۆش پێڵاوەکانت پیسە. وەرە!	وەرە خەتی جادەکە ئەکێشم تۆش پێڵاوەکانت پیسە. وەرە!	وەرە خەتی جادەکەی دەکێشم ئەتوش پێراوەکانت پیسە. وەرە!	وەرە خەتی جادەکەی دەکێشم ئەتۆش پێڵاوەکانت پیسن. وەرە!	وەرە خەتی جادەکە ئەکێشم تویش کەوشەکانت چەپەڵە. بێ!
You bastard, I was not talking to you! Why did you come from there?	هەتیوو لەگەڵ تۆم نەبوو! تۆ بەویا هاتی؟	هەتیوو لەگەڵ تۆم نەبوو! تۆ بەویا هاتی؟	هەتیم لەگەر توم نەبوو! ئەتوو بەوێدا هاتی؟	هەتیو دەگەڵ تۆمدا نەبوو! ئەتۆ بۆ بەوێدا هاتی؟	هەتیم تەک تۆم نەو! تۆ بۆچە بە ئێنەو هاتی؟
Oh, you are also here?	ئەمە تۆش لێرەی	ئەمە تۆش لێرەی	ئەوە ئەتووش لێرەی	ئەوە ئەتۆش لێرەی؟	ئەمە تویش هایتە ئێرە؟
They want the fish to die.	ئەیانەوێ ئەو ماسییە بکوژرێ.	ئەیانەوێ ئەو ماسییە بکوژرێ.	دەیانەوێ ئەو ماسییە بکوژرێ.	دەیانهەوێ ئەو ماسییەی بکوژرێ	گەرەکیانە ئەو ماسییە بکوژگێ.
And how come you don't understand how the situation is?	ئەی چۆن تۆ تێناگەی چۆنە ئەو وەزعە؟	ئەی چۆن تۆ تێناگەی چۆنە ئەو وەزعە؟	ئەدی کوو ئەتوو تێناگەی کوە ئەو وەزعە؟	دە چۆن ئەتۆ تێناگەی چۆنە ئەو وەزعەی؟	ئەی چۆن تۆ تێناگەی چۆنە ئەو وەزعە؟
Alright, goodbye, go.	دە بڕۆ خواحافیزت بێ بڕۆ	دە بڕۆ خواحافیزت بێ بڕۆ	دە بڕۆ خوا حافیزت بی بڕۆ	دە بڕۆ خوداحافیزت بێ بڕۆ	دەی بڕۆ خوا حافزۆ بێ بڕۆ
Substance becomes gas from its liquid state.	ماددە لە دۆخی شلییەوە ببێ بە غازی	ماددە لە دۆخی شلییەوە ببێ بە غازی	ماددە لە دۆخی شلییەوە ببتە غازی	ماددە دە دۆخی مایعەوە ببێ بە گازی	ماددە لە حاڵەت مایعەو بێت بە گاز
I don't like to enter.	حەز ناکەم داخڵ بم	حەز ناکەم داخڵ بم	حەزناکەم داخیل بم	پێم خۆش نێ بچمە ژوورێ	حەز ناکەم بچمە ناو
I know what it is! I know what it is.	ئەزانم چییە! من ئەزانم چییە.	ئەزانم چییە! من ئەزانم چییە.	دەزانم چییە! ئەمن دەزانم چییە.	دەزانم چییە! ئەمن دەزانم چییە.	ئەزانم چەس! من ئەزانم چەس.
What have they done for them?	بۆ ئەوان چییان کردووە؟	بۆ ئەوان چییان کردووە؟	لۆ ئەوان چییان کردییە؟	بۆ ئەوان چییان کردۆ؟	بۆچە ئەوان چەیان کرگە؟
I was going, he was saying that my fat is high. 	ئەچووم ئەیوت تۆ چەورییەکەو بەرزە.	ئەچووم ئەیوت تۆ چەورییەکەو بەرزە.	دەچووم دەیگۆ ئەتوو چەورییت زۆرە	دەچووم دەیکوت ئەتوو چەورییەکەت لە سەرێیە.	ئەچووم ئەیوت تۆ چەورییەکەت ها بانەو.
But why don't you turn it?	ئەی بۆ نایگێڕی؟	ئەی بۆ نایگێڕی؟	ئەدی لۆ ناگێڕی؟	ئەی بۆ نایگێڕی؟	ئەی بۆچە نایگەڕنی؟
Alright, man. Please, there was a ministry in that alley; what happened to it?	باشە کاکە گیان. ئەرێ زەحمە نەبێ وەزارەتێ لەم کۆڵانەدا هەبوو؛ چی لێ هاوو؟	باشە کاکە گیان. ئەرێ زەحمە نەبێ وەزارەتێ لەم کۆڵانەیا هەبوو؛ چی لێ هاوو؟	باشە کاکە گیان. ئەرێ زەحمەت نەبی وەزارەتەک لەو کۆرانەی هەبوو؛ چی لێهات	باشە کاکە گیان. ئەرێ زەحمەت نەبێ وەزارەتێک دەو کۆڵانەیدا هەبوو؛ چی لێ هات؟	باشە کاکە گیان. ئەرێ زەحمەت نەوێ وەزارەتێ لەم کۆڵانا بوو؛ چەی لێ هات؟
Oh my dear, let it go inside so that the doctor prescribes to him. 	ئەھ بە قوربانت بم، با بچێتە ژوورەوە دکتۆر بۆی بنووسێ.	ئەھ بە قوربانت بم، با بچێتە ژوورەوە دکتۆر بۆی بنووسێ.	ئەی بەقوربانت بم، بابچتە ژۆرێ دکتۆر لۆی بنوسی.	ئەھ بە قوربانت بم، با بچێتە ژوورێ دکتۆر بۆی بنووسێ.	ئەھ قەزاو لێم، با بچێتە ناو دکتۆر بنووسێ بۆی.
I mean, why don't you call me by my name?	ئەڵێم ئەوە تۆ بۆ بەناوی خۆمەوە من بانگ ناکەی؟	ئەڵێم ئەوە تۆ بۆ بەناوی خۆمەوە من بانگ ناکەی؟	دەرێم ئەوە ئەتو لۆ بەناوی خۆم بانگم ناکەی؟	دەڵێم ئەوە ئەتۆ بۆ بە نێوی خۆمەوە من بانگ ناکەی؟	ئەیژم ئەوە تۆ بۆچە بە ناو خوەمەو من بانگ ناکەی؟
But how do you know that I am going to mow the lawn?	جا باشە تۆ چووزانی بۆ چیمەن بڕین ئەچم؟	جا باشە تۆ چووزانی بۆ چیمەن بڕین ئەچم؟	ئەوجە باشە ئەتو چووزانی ئەمن لۆ چیمەن بڕینی دەچم	جا باشە ئەتۆ چووزانی بۆ چیمەن بڕین دەچم؟	جا باشە تۆ چووزانی بۆ چەمەن بڕین ئەچم؟
OK you tell me a name so that I call you by that name.	ئەرێ تۆ ناوێکم پێ بڵێ با من بەو ناوە بانگت کەم.	ئەرێ تۆ ناوێکم پێ بڵێ با من بەو ناوە بانگت کەم.	ئەرێ ئەتو ناوەکم پێ برێ با ئەمن بەو ناوەی بانگت کەم.	ئەرێ ئەتۆ نێوێکم پێ بڵێ با ئەمن بەو نێوەی بانگت کەم.	ئەرێ تۆ ناوێکم پێ بێژە با من بەو ناوە قاوت لێ کەم.
But I work with tomato every day.	بەس هەموو ڕۆژێ ئیشم بە تەماتەیە.	بەس هەموو ڕۆژێ ئیشم بە تەماتەیە.	بەس هەموو ڕۆژێ ئیشم بە تەماتەیە.	فەقەت هەموو ڕۆژێکی کارم بە باینجانە.	فەقەت هەرچێ ڕۆژە کارم بە تۆماتێزە.
Anyway, just forget about those things.	ئەی تۆ واز لەو شتانەش بێنە.	ئەی تۆ واز لەو شتانەش بێنە.	ئەدی ئەتو واز لەو شتانەش بینە.	دە ئەتۆ لە کۆڵی ئەو شتانەی بەوە.	ئەی تۆ واز لەو چتگەلە بێرا.
Well, I have an appointment with him. He called me. 	وەڵا مەوعیدم لەگەڵیایە. تەلەفونی بۆ کردم.	وەڵا مەوعیدم لەگەڵیایە. تەلەفونی بۆ کردم.	وەڵا مەوعیدم لەگەری هەیە. تەلەفۆنی لۆ کردم.	وەڵا قەرارم دەگەڵیان هەیە. زەنگی لێ دام.	وەڵا قەرارم لەتەکیانا هەس. زەنگی دا لێم.
Knock it off! Just go away, please.	دە فشەفش! توخوا ئەگەر لانەچی.	دە فشەفش! توخوا ئەگەر لانەچی.	دە فشەفش ! تخوا ئەگەر ئەتو لانەچی.	دە فشەفش! توخودا ئەگەر لانەچی.	دەی فشەفش! توخوا ئەگەر لانەچی.
Please, let these five thousand of yours not be on it. 	تخوا با ئەم پێنج هەزارەی تۆشی لە سەر نەبێ.	تخوا با ئەم پێنج هەزارەی تۆشی لە سەر نەبێ.	تخوا با ئەو پێنج هەزارەی توشی لەسەر نەبی.	تخوا با ئەو پێنج هەزارەی تۆشی لە سەر نەبێ.	تخوا با ئەم پەنج هەزار تویشە لە سەر نەوێ.
Come on! Please, don't rebuke to me and don't let me open my mouth!	دە یەڵا یاڵا! توخوا قسەم پێ مەکە و با دەم نەکەمەوە!	دە یەڵا یاڵا! توخوا قسەم پێ مەکە و با دەم نەکەمەوە!	دە یەڵا یەڵا! تخوا قسەم پێ مەکە با دەوم نەکەمەوە!	دە یەڵا یاڵا! توخوڵا قسەم پێ مەکە و با زاری نەکەمەوە!	دەی یەڵا یاڵا! توخوا قسەم پێ مەکە و با دەم نەکەمەو!
But in whose name, brother?	ئاخر بە ناوی کامتانەوە کاکەبرا؟	ئاخر بە ناوی کامتانەوە کاکەبرا؟	ئاخر بەناوی کیهانتانە کاکەبرا؟	ئاخر بە نێوی کێهەتانەوە برالە؟	ئاخر بە ناو کامتانەو کاکەبرا؟
And you'll smell like oil, just put it down.	و هەموو گیانتان بۆنی نەوتی لێ دێت، دە داینێ.	و هەموو گیانتان بۆنی نەوتی لێ دێت، دە داینێ.	و هەموو گیانتان بۆنی نەفتی لێ دێ، دە دانێ.	و هەموو گیانوو بۆنی نەوتی لێ دێ، دە داینێ.	و گشت گیانتان بۆی نەفتی لێ تێ، دەی داینە.
I wish it was something different every day.	شەڵا هەر ڕۆژەی شتێ بوایە.	شەڵا هەر ڕۆژەی شتێ بوایە.	شەڵا هەر ڕۆژەی شتەک بایە.	شەڵا هەر ڕۆژەی شتێک با.	ئیشەڵڵا هەر ڕۆژێکی چتێ بوای.
These is Kurdish clothing, Kurdish clothing!	ئەمە جلی کوردییە جلی کوردی!	ئەمە جلی کوردییە جلی کوردی!	ئەوە جلکی کوردییە جلکی کوردی!	ئەمە جلی کوردییە جلی کوردی!	ئەمە جل کوردییە جل کوردی!
Go ahead, pull it out to see if it's written or not written.	ئادەی دەری هێنە بزانە لێ نووسراوە یا نەنووسراوە	ئادەی دەری هێنە بزانە لێ نووسراوە یا نەنووسراوە	دە دەری بینە بزانە لێی نووسرایە یان نەنووسرایە	دە دەری هێنە بزانە لێ نووسدراوە یا نەنووسدراوە	ئادەی دەری بێرا بزانە لێ نووسیاگە یا نەنووسیاگە
See, if you're not under this man's umbrella, I'll break you mouth. 	کورە لە ژێر چەتری ئەم پیاوەدا نەبی دەم و فڵقت ئەشکێنم	کورە لە ژێر چەتری ئەم پیاوەیا نەبی دەم و فڵقت ئەشکێنم	کورە لە بن ....... ئەو کابرایەی نەبی دەو و قەپۆزت دەشکێنم	کورە لە ژێر چەتری ئەو پیاوەیدا نەبی دم و فڵقت دەشکێنم	کورە لە ژێر چەتر ئەم پیاگە نەوی دەم و فڵقۆ ئەشکنم
